

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Gains Losses Not Affecting Retained Earnings         -11452000000.0  -11109000000.0     163000000.0    -406000000.0
Other Equity Adjustments                             -11452000000.0  -11109000000.0     163000000.0    -406000000.0
Retained Earnings                                      -214000000.0   -3068000000.0    5562000000.0   14966000000.0
Capital Stock                                         73812000000.0   64849000000.0   57365000000.0   50779000000.0
Common Stock                                          73812000000.0   64849000000.0   57365000000.0   50779000000.0
Total Liabilities Net Minority Interest              290437000000.0  302083000000.0  287912000000.0  258549000000.0
Total Non Current Liabilities Net Minority Interest  145129000000.0  148101000000.0  162431000000.0  153157000000.0
Other Non Current Liabilities                         34391000000.0   32485000000.0   28636000000.0   26320000000.0
Tradeand Other Payables Non Current                   15457000000.0   16657000000.0   24689000000.0   28170000000.0
Long Term Debt And Capital Lease Obligation           95281000000.0   98959000000.0  109106000000.0   98667000000.0
Long Term Debt                                        95281000000.0   98959000000.0  109106000000.0   98667000000.0
Current Liabilities                                  145308000000.0  153982000000.0  125481000000.0  105392000000.0
Other Current Liabilities                             58829000000.0   60845000000.0   47493000000.0   42684000000.0
Current Deferred Liabilities                           8061000000.0    7912000000.0    7612000000.0    6643000000.0
Current Deferred Revenue                               8061000000.0    7912000000.0    7612000000.0    6643000000.0
Current Debt And Capital Lease Obligation             15807000000.0   21110000000.0   15613000000.0   13769000000.0
Current Debt                                          15807000000.0   21110000000.0   15613000000.0   13769000000.0
Other Current Borrowings                               9822000000.0   11128000000.0    9613000000.0    8773000000.0
Commercial Paper                                       5985000000.0    9982000000.0    6000000000.0    4996000000.0
Payables And Accrued Expenses                         62611000000.0   64115000000.0   54763000000.0   42296000000.0
Payables                                              62611000000.0   64115000000.0   54763000000.0   42296000000.0
Accounts Payable                                      62611000000.0   64115000000.0   54763000000.0   42296000000.0
Total Assets                                         352583000000.0  352755000000.0  351002000000.0  323888000000.0
Total Non Current Assets                             209017000000.0  217350000000.0  216166000000.0  180175000000.0
Other Non Current Assets                              46906000000.0   39053000000.0   48849000000.0   42522000000.0
Non Current Deferred Assets                           17852000000.0   15375000000.0             NaN             NaN
Non Current Deferred Taxes Assets                     17852000000.0   15375000000.0             NaN             NaN
Investments And Advances                             100544000000.0  120805000000.0  127877000000.0  100887000000.0
Other Investments                                               NaN  120805000000.0  127877000000.0  100887000000.0
Investmentin Financial Assets                        100544000000.0  120805000000.0  127877000000.0  100887000000.0
Available For Sale Securities                        100544000000.0  120805000000.0  127877000000.0  100887000000.0
Net PPE                                               43715000000.0   42117000000.0   39440000000.0   36766000000.0
Accumulated Depreciation                             -70884000000.0  -72340000000.0  -70283000000.0  -66760000000.0
Gross PPE                                            114599000000.0  114457000000.0  109723000000.0  103526000000.0
Leases                                                12839000000.0   11271000000.0   11023000000.0   10283000000.0
Machinery Furniture Equipment                         78314000000.0   81060000000.0   78659000000.0   75291000000.0
Land And Improvements                                 23446000000.0   22126000000.0   20041000000.0   17952000000.0
Properties                                                      0.0             0.0             0.0             0.0
Current Assets                                       143566000000.0  135405000000.0  134836000000.0  143713000000.0
Other Current Assets                                  14695000000.0   21223000000.0   14111000000.0   11264000000.0
Inventory                                              6331000000.0    4946000000.0    6580000000.0    4061000000.0
Receivables                                           60985000000.0   60932000000.0   51506000000.0   37445000000.0
Other Receivables                                     31477000000.0   32748000000.0   25228000000.0   21325000000.0
Accounts Receivable                                   29508000000.0   28184000000.0   26278000000.0   16120000000.0
Cash Cash Equivalents And Short Term Investments      61555000000.0   48304000000.0   62639000000.0   90943000000.0
Other Short Term Investments                          31590000000.0   24658000000.0   27699000000.0   52927000000.0
Cash And Cash Equivalents                             29965000000.0   23646000000.0   34940000000.0   38016000000.0
Cash Equivalents                                       1606000000.0    5100000000.0   17635000000.0   20243000000.0
Cash Financial                                        28359000000.0   18546000000.0   17305000000.0   17773000000.0



MSFT Financials(Income Statement/Balance Sheet):

Income Statement for MSFT                                                        2023-06-30      2022-06-30          2021-06-30      2020-06-30
Tax Effect Of Unusual Items                             -2850000.0      43420000.0    180160797.164637       4760000.0
Tax Rate For Calcs                                            0.19            0.13            0.138266            0.17
Normalized EBITDA                                   105155000000.0   99905000000.0       83831000000.0   68395000000.0
Total Unusual Items                                    -15000000.0     334000000.0        1303000000.0      28000000.0
Total Unusual Items Excluding Goodwill                 -15000000.0     334000000.0        1303000000.0      28000000.0
Net Income From Continuing Operation Net Minori...   72361000000.0   72738000000.0       61271000000.0   44281000000.0
Reconciled Depreciation                              13861000000.0   14460000000.0       11686000000.0   12796000000.0
Reconciled Cost Of Revenue                           65863000000.0   62650000000.0       52232000000.0   46078000000.0
EBITDA                                              105140000000.0  100239000000.0       85134000000.0   68423000000.0
EBIT                                                 91279000000.0   85779000000.0       73448000000.0   55627000000.0
Net Interest Income                                   1026000000.0      31000000.0        -215000000.0      89000000.0
Interest Expense                                      1968000000.0    2063000000.0        2346000000.0    2591000000.0
Interest Income                                       2994000000.0    2094000000.0        2131000000.0    2680000000.0
Normalized Income                                    72373150000.0   72447420000.0  60148160797.164635   44257760000.0
Net Income From Continuing And Discontinued Ope...   72361000000.0   72738000000.0       61271000000.0   44281000000.0
Total Expenses                                      123392000000.0  114887000000.0       98172000000.0   90056000000.0
Total Operating Income As Reported                   88523000000.0   83383000000.0       69916000000.0   52959000000.0
Diluted Average Shares                                7472000000.0    7540000000.0        7608000000.0    7683000000.0
Basic Average Shares                                  7446000000.0    7496000000.0        7547000000.0    7610000000.0
Diluted EPS                                                   9.68            9.65                8.05            5.76
Basic EPS                                                     9.72             9.7                8.12            5.82
Diluted NI Availto Com Stockholders                  72361000000.0   72738000000.0       61271000000.0   44281000000.0
Net Income Common Stockholders                       72361000000.0   72738000000.0       61271000000.0   44281000000.0
Net Income                                           72361000000.0   72738000000.0       61271000000.0   44281000000.0
Net Income Including Noncontrolling Interests        72361000000.0   72738000000.0       61271000000.0   44281000000.0
Net Income Continuous Operations                     72361000000.0   72738000000.0       61271000000.0   44281000000.0
Tax Provision                                        16950000000.0   10978000000.0        9831000000.0    8755000000.0
Pretax Income                                        89311000000.0   83716000000.0       71102000000.0   53036000000.0
Other Income Expense                                  -238000000.0     302000000.0        1401000000.0     -12000000.0
Other Non Operating Income Expenses                   -223000000.0     -32000000.0          98000000.0     -40000000.0
Special Income Charges                                 -30000000.0    -101000000.0         -13000000.0    -133000000.0
Write Off                                               30000000.0     101000000.0          13000000.0     133000000.0
Gain On Sale Of Security                                15000000.0     435000000.0        1316000000.0     161000000.0
Net Non Operating Interest Income Expense             1026000000.0      31000000.0        -215000000.0      89000000.0
Interest Expense Non Operating                        1968000000.0    2063000000.0        2346000000.0    2591000000.0
Interest Income Non Operating                         2994000000.0    2094000000.0        2131000000.0    2680000000.0
Operating Income                                     88523000000.0   83383000000.0       69916000000.0   52959000000.0
Operating Expense                                    57529000000.0   52237000000.0       45940000000.0   43978000000.0
Research And Development                             27195000000.0   24512000000.0       20716000000.0   19269000000.0
Selling General And Administration                   30334000000.0   27725000000.0       25224000000.0   24709000000.0
Selling And Marketing Expense                        22759000000.0   21825000000.0       20117000000.0   19598000000.0
General And Administrative Expense                    7575000000.0    5900000000.0        5107000000.0    5111000000.0
Other Gand A                                          7575000000.0    5900000000.0        5107000000.0    5111000000.0
Gross Profit                                        146052000000.0  135620000000.0      115856000000.0   96937000000.0
Cost Of Revenue                                      65863000000.0   62650000000.0       52232000000.0   46078000000.0
Total Revenue                                       211915000000.0  198270000000.0      168088000000.0  143015000000.0
Operating Revenue                                   211915000000.0  198270000000.0      168088000000.0  143015000000.0

Balance Sheet for MSFT                                                            2023-06-30      2022-06-30      2021-06-30      2020-06-30
Ordinary Shares Number                                    7432000000.0    7464000000.0    7519000000.0    7571000000.0
Share Issued                                              7432000000.0    7464000000.0    7519000000.0    7571000000.0
Net Debt                                                 12533000000.0   35850000000.0   43922000000.0   49751000000.0
Total Debt                                               59965000000.0   61270000000.0   67775000000.0   70998000000.0
Tangible Book Value                                     128971000000.0   87720000000.0   84477000000.0   67915000000.0
Invested Capital                                        253460000000.0  216323000000.0  200134000000.0  181631000000.0
Working Capital                                          80108000000.0   74602000000.0   95749000000.0  109605000000.0
Net Tangible Assets                                     128971000000.0   87720000000.0   84477000000.0   67915000000.0
Capital Lease Obligations                                12728000000.0   11489000000.0    9629000000.0    7671000000.0
Common Stock Equity                                     206223000000.0  166542000000.0  141988000000.0  118304000000.0
Total Capitalization                                    248213000000.0  213574000000.0  192062000000.0  177882000000.0
Total Equity Gross Minority Interest                    206223000000.0  166542000000.0  141988000000.0  118304000000.0
Stockholders Equity                                     206223000000.0  166542000000.0  141988000000.0  118304000000.0
Gains Losses Not Affecting Retained Earnings             -6343000000.0   -4678000000.0    1822000000.0    3186000000.0
Other Equity Adjustments                                 -6343000000.0   -4678000000.0    1822000000.0    3186000000.0
Retained Earnings                                       118848000000.0   84281000000.0   57055000000.0   34566000000.0
Capital Stock                                            93718000000.0   86939000000.0   83111000000.0   80552000000.0
Common Stock                                             93718000000.0   86939000000.0   83111000000.0   80552000000.0
Total Liabilities Net Minority Interest                 205753000000.0  198298000000.0  191791000000.0  183007000000.0
Total Non Current Liabilities Net Minority Interest     101604000000.0  103216000000.0  103134000000.0  110697000000.0
Other Non Current Liabilities                            17981000000.0   15526000000.0   13427000000.0   10632000000.0
Tradeand Other Payables Non Current                      25560000000.0   26069000000.0   27190000000.0   29432000000.0
Non Current Deferred Liabilities                          3345000000.0    3100000000.0    2814000000.0    3384000000.0
Non Current Deferred Revenue                              2912000000.0    2870000000.0    2616000000.0    3180000000.0
Non Current Deferred Taxes Liabilities                     433000000.0     230000000.0     198000000.0     204000000.0
Long Term Debt And Capital Lease Obligation              54718000000.0   58521000000.0   59703000000.0   67249000000.0
Long Term Capital Lease Obligation                       12728000000.0   11489000000.0    9629000000.0    7671000000.0
Long Term Debt                                           41990000000.0   47032000000.0   50074000000.0   59578000000.0
Current Liabilities                                     104149000000.0   95082000000.0   88657000000.0   72310000000.0
Other Current Liabilities                                14745000000.0   13067000000.0   11666000000.0   10027000000.0
Current Deferred Liabilities                             50901000000.0   45538000000.0   41525000000.0   36000000000.0
Current Deferred Revenue                                 50901000000.0   45538000000.0   41525000000.0   36000000000.0
Current Debt And Capital Lease Obligation                 5247000000.0    2749000000.0    8072000000.0    3749000000.0
Current Debt                                              5247000000.0    2749000000.0    8072000000.0    3749000000.0
Pensionand Other Post Retirement Benefit Plans Current   11009000000.0   10661000000.0   10057000000.0    7874000000.0
Payables And Accrued Expenses                            22247000000.0   23067000000.0   17337000000.0   14660000000.0
Payables                                                 22247000000.0   23067000000.0   17337000000.0   14660000000.0
Total Tax Payable                                         4152000000.0    4067000000.0    2174000000.0    2130000000.0
Income Tax Payable                                        4152000000.0    4067000000.0    2174000000.0    2130000000.0
Accounts Payable                                         18095000000.0   19000000000.0   15163000000.0   12530000000.0
Total Assets                                            411976000000.0  364840000000.0  333779000000.0  301311000000.0
Total Non Current Assets                                227719000000.0  195156000000.0  149373000000.0  119396000000.0
Other Non Current Assets                                 30601000000.0   21897000000.0   15075000000.0   13138000000.0
Investments And Advances                                  9879000000.0    6891000000.0    5984000000.0    2965000000.0
Long Term Equity Investment                               9879000000.0    6891000000.0    5984000000.0    2965000000.0
Goodwill And Other Intangible Assets                     77252000000.0   78822000000.0   57511000000.0   50389000000.0
Other Intangible Assets                                   9366000000.0   11298000000.0    7800000000.0    7038000000.0
Goodwill                                                 67886000000.0   67524000000.0   49711000000.0   43351000000.0
Net PPE                                                 109987000000.0   87546000000.0   70803000000.0   52904000000.0
Accumulated Depreciation                                -68251000000.0  -59660000000.0  -51351000000.0  -43197000000.0
Gross PPE                                               178238000000.0  147206000000.0  122154000000.0   96101000000.0
Leases                                                    8537000000.0    7819000000.0    6884000000.0    5487000000.0
Other Properties                                         14346000000.0   13148000000.0   11088000000.0    8753000000.0
Machinery Furniture Equipment                            81207000000.0   66491000000.0   56594000000.0   46043000000.0
Buildings And Improvements                               68465000000.0   55014000000.0   43928000000.0   33995000000.0
Land And Improvements                                     5683000000.0    4734000000.0    3660000000.0    1823000000.0
Properties                                                         0.0             0.0             0.0             0.0
Current Assets                                          184257000000.0  169684000000.0  184406000000.0  181915000000.0
Other Current Assets                                     21807000000.0   16924000000.0   13393000000.0   11482000000.0
Hedging Assets Current                                       6000000.0       8000000.0      78000000.0             0.0
Inventory                                                 2500000000.0    3742000000.0    2636000000.0    1895000000.0
Finished Goods                                            1768000000.0    2516000000.0    1367000000.0    1112000000.0
Work In Process                                             23000000.0      82000000.0      79000000.0      83000000.0
Raw Materials                                              709000000.0    1144000000.0    1190000000.0     700000000.0
Receivables                                              48688000000.0   44261000000.0   38043000000.0   32011000000.0
Accounts Receivable                                      48688000000.0   44261000000.0   38043000000.0   32011000000.0
Allowance For Doubtful Accounts Receivable                -650000000.0    -633000000.0    -751000000.0    -788000000.0
Gross Accounts Receivable                                49338000000.0   44894000000.0   38794000000.0   32799000000.0
Cash Cash Equivalents And Short Term Investments        111256000000.0  104749000000.0  130256000000.0  136527000000.0
Other Short Term Investments                             76552000000.0   90818000000.0  116032000000.0  122951000000.0
Cash And Cash Equivalents                                34704000000.0   13931000000.0   14224000000.0   13576000000.0
Cash Equivalents                                         26226000000.0    5673000000.0    6952000000.0    7666000000.0
Cash Financial                                            8478000000.0    8258000000.0    7272000000.0    5910000000.0



AMZN Financials(Income Statement/Balance Sheet):

Income Statement for AMZN                                                          2023-12-31      2022-12-31          2021-12-31          2020-12-31
Tax Effect Of Unusual Items                         211380035.679101   -3415860000.0   1839997169.143666    287626230.457441
Tax Rate For Calcs                                          0.189579            0.21             0.12558            0.118413
Normalized EBITDA                                      88287000000.0   54618000000.0       59741000000.0       48647000000.0
Total Unusual Items                                     1115000000.0  -16266000000.0       14652000000.0        2429000000.0
Total Unusual Items Excluding Goodwill                  1115000000.0  -16266000000.0       14652000000.0        2429000000.0
Net Income From Continuing Operation Net Minori...     30425000000.0   -2722000000.0       33364000000.0       21331000000.0
Reconciled Depreciation                                48663000000.0   41921000000.0       34433000000.0       25251000000.0
Reconciled Cost Of Revenue                            480980000000.0  446343000000.0      403507000000.0      334564000000.0
EBITDA                                                 89402000000.0   38352000000.0       74393000000.0       51076000000.0
EBIT                                                   40739000000.0   -3569000000.0       39960000000.0       25825000000.0
Net Interest Income                                     -233000000.0   -1378000000.0       -1361000000.0       -1092000000.0
Interest Expense                                        3182000000.0    2367000000.0        1809000000.0        1647000000.0
Interest Income                                         2949000000.0     989000000.0         448000000.0         555000000.0
Normalized Income                                   29521380035.6791   10128140000.0  20551997169.143665  19189626230.457439
Net Income From Continuing And Discontinued Ope...     30425000000.0   -2722000000.0       33364000000.0       21331000000.0
Total Expenses                                        537933000000.0  501735000000.0      444943000000.0      363165000000.0
Total Operating Income As Reported                     36852000000.0   12248000000.0       24879000000.0       22899000000.0
Diluted Average Shares                                 10492000000.0   10189000000.0       10300000000.0       10200000000.0
Basic Average Shares                                   10304000000.0   10189000000.0       10120000000.0       10000000000.0
Diluted EPS                                                      2.9           -0.27              3.2405              2.0915
Basic EPS                                                       2.95           -0.27               3.298               2.132
Diluted NI Availto Com Stockholders                    30425000000.0   -2722000000.0       33364000000.0       21331000000.0
Net Income Common Stockholders                         30425000000.0   -2722000000.0       33364000000.0       21331000000.0
Net Income                                             30425000000.0   -2722000000.0       33364000000.0       21331000000.0
Net Income Including Noncontrolling Interests          30425000000.0   -2722000000.0       33364000000.0       21331000000.0
Net Income Continuous Operations                       30425000000.0   -2722000000.0       33364000000.0       21331000000.0
Earnings From Equity Interest Net Of Tax                 -12000000.0      -3000000.0           4000000.0          16000000.0
Tax Provision                                           7120000000.0   -3217000000.0        4791000000.0        2863000000.0
Pretax Income                                          37557000000.0   -5936000000.0       38151000000.0       24178000000.0
Other Income Expense                                     938000000.0  -16806000000.0       14633000000.0        2371000000.0
Other Non Operating Income Expenses                     -177000000.0    -540000000.0         -19000000.0         -58000000.0
Gain On Sale Of Security                                1115000000.0  -16266000000.0       14652000000.0        2429000000.0
Net Non Operating Interest Income Expense               -233000000.0   -1378000000.0       -1361000000.0       -1092000000.0
Interest Expense Non Operating                          3182000000.0    2367000000.0        1809000000.0        1647000000.0
Interest Income Non Operating                           2949000000.0     989000000.0         448000000.0         555000000.0
Operating Income                                       36852000000.0   12248000000.0       24879000000.0       22899000000.0
Operating Expense                                      56953000000.0   55392000000.0       41436000000.0       28601000000.0
Other Operating Expenses                                 767000000.0    1263000000.0          62000000.0         -75000000.0
Research And Development                                         NaN             NaN                 NaN       42740000000.0
Selling General And Administration                     56186000000.0   54129000000.0       41374000000.0       28676000000.0
Selling And Marketing Expense                          44370000000.0   42238000000.0       32551000000.0       22008000000.0
General And Administrative Expense                     11816000000.0   11891000000.0        8823000000.0        6668000000.0
Other Gand A                                           11816000000.0   11891000000.0        8823000000.0        6668000000.0
Gross Profit                                           93805000000.0   67640000000.0       66315000000.0       51500000000.0
Cost Of Revenue                                       480980000000.0  446343000000.0      403507000000.0      334564000000.0
Total Revenue                                         574785000000.0  513983000000.0      469822000000.0      386064000000.0
Operating Revenue                                     574785000000.0  513983000000.0      469822000000.0      386064000000.0

Balance Sheet for AMZN                                                         2023-12-31      2022-12-31      2021-12-31      2020-12-31
Treasury Shares Number                                  515000000.0     515000000.0     460000000.0     480000000.0
Ordinary Shares Number                                10383000000.0   10242000000.0   10180000000.0   10060000000.0
Share Issued                                          10898000000.0   10757000000.0   10640000000.0   10540000000.0
Net Debt                                                        NaN   13262000000.0   12524000000.0             NaN
Total Debt                                           135611000000.0  140118000000.0  116395000000.0   84389000000.0
Tangible Book Value                                  171399000000.0  119658000000.0  117767000000.0   73406000000.0
Invested Capital                                     260189000000.0  213193000000.0  186989000000.0  125220000000.0
Working Capital                                        7434000000.0   -8602000000.0   19314000000.0    6348000000.0
Net Tangible Assets                                  171399000000.0  119658000000.0  117767000000.0   73406000000.0
Capital Lease Obligations                             77297000000.0   72968000000.0   67651000000.0   52573000000.0
Common Stock Equity                                  201875000000.0  146043000000.0  138245000000.0   93404000000.0
Total Capitalization                                 260189000000.0  213193000000.0  186989000000.0  125220000000.0
Total Equity Gross Minority Interest                 201875000000.0  146043000000.0  138245000000.0   93404000000.0
Stockholders Equity                                  201875000000.0  146043000000.0  138245000000.0   93404000000.0
Gains Losses Not Affecting Retained Earnings          -3040000000.0   -4487000000.0   -1376000000.0    -180000000.0
Other Equity Adjustments                              -3040000000.0   -4487000000.0   -1376000000.0    -180000000.0
Treasury Stock                                         7837000000.0    7837000000.0    1837000000.0    1837000000.0
Retained Earnings                                    113618000000.0   83193000000.0   85915000000.0   52551000000.0
Additional Paid In Capital                            99025000000.0   75066000000.0   55437000000.0   42865000000.0
Capital Stock                                           109000000.0     108000000.0     106000000.0       5000000.0
Common Stock                                            109000000.0     108000000.0     106000000.0       5000000.0
Preferred Stock                                                 0.0             0.0             0.0             0.0
Total Liabilities Net Minority Interest              325979000000.0  316632000000.0  282304000000.0  227791000000.0
Total Non Current Liabilities Net Minority Interest  161062000000.0  161239000000.0  140038000000.0  101406000000.0
Other Non Current Liabilities                         25451000000.0   21121000000.0   23643000000.0   17017000000.0
Long Term Debt And Capital Lease Obligation          135611000000.0  140118000000.0  116395000000.0   84389000000.0
Long Term Capital Lease Obligation                    77297000000.0   72968000000.0   67651000000.0   52573000000.0
Long Term Debt                                        58314000000.0   67150000000.0   48744000000.0   31816000000.0
Current Liabilities                                  164917000000.0  155393000000.0  142266000000.0  126385000000.0
Current Deferred Liabilities                          15227000000.0   13227000000.0   11827000000.0    9708000000.0
Current Deferred Revenue                              15227000000.0   13227000000.0   11827000000.0    9708000000.0
Payables And Accrued Expenses                        149690000000.0  142166000000.0  130439000000.0  116677000000.0
Current Accrued Expenses                              64709000000.0   62566000000.0   51775000000.0   44138000000.0
Payables                                              84981000000.0   79600000000.0   78664000000.0   72539000000.0
Accounts Payable                                      84981000000.0   79600000000.0   78664000000.0   72539000000.0
Total Assets                                         527854000000.0  462675000000.0  420549000000.0  321195000000.0
Total Non Current Assets                             355503000000.0  315884000000.0  258969000000.0  188462000000.0
Other Non Current Assets                              48337000000.0   36661000000.0   22128000000.0   17797000000.0
Goodwill And Other Intangible Assets                  30476000000.0   26385000000.0   20478000000.0   19998000000.0
Other Intangible Assets                                7687000000.0    6097000000.0    5107000000.0    4981000000.0
Goodwill                                              22789000000.0   20288000000.0   15371000000.0   15017000000.0
Net PPE                                              276690000000.0  252838000000.0  216363000000.0  150667000000.0
Accumulated Depreciation                            -120111000000.0  -97015000000.0  -78519000000.0  -60434000000.0
Gross PPE                                            396801000000.0  349853000000.0  294882000000.0  211101000000.0
Construction In Progress                              28840000000.0   30020000000.0   24895000000.0   15228000000.0
Other Properties                                     262668000000.0  228183000000.0  188883000000.0   41325000000.0
Machinery Furniture Equipment                                   NaN             NaN  128683000000.0   97224000000.0
Land And Improvements                                105293000000.0   91650000000.0   81104000000.0   57324000000.0
Properties                                           105293000000.0   91650000000.0             0.0             0.0
Current Assets                                       172351000000.0  146791000000.0  161580000000.0  132733000000.0
Inventory                                             33318000000.0   34405000000.0   32640000000.0   23795000000.0
Finished Goods                                                  NaN             NaN   32640000000.0   23795000000.0
Receivables                                           52253000000.0   42360000000.0   32891000000.0   24542000000.0
Accounts Receivable                                   52253000000.0   42360000000.0   32891000000.0   24542000000.0
Allowance For Doubtful Accounts Receivable            -1700000000.0   -1400000000.0   -1100000000.0   -1100000000.0
Gross Accounts Receivable                             53953000000.0   43760000000.0   33991000000.0   25642000000.0
Cash Cash Equivalents And Short Term Investments      86780000000.0   70026000000.0   96049000000.0   84396000000.0
Other Short Term Investments                          13393000000.0   16138000000.0   59829000000.0   42274000000.0
Cash And Cash Equivalents                             73387000000.0   53888000000.0   36220000000.0   42122000000.0



GOOGL Financials(Income Statement/Balance Sheet):

Income Statement for GOOGL                                                        2023-12-31      2022-12-31      2021-12-31          2020-12-31
Tax Effect Of Unusual Items                           -286479000.0    -981507000.0    1948860000.0    970572126.783412
Tax Rate For Calcs                                           0.139           0.159           0.162            0.162493
Normalized EBITDA                                   100032000000.0   91333000000.0   91491000000.0       55941000000.0
Total Unusual Items                                  -2061000000.0   -6173000000.0   12030000000.0        5973000000.0
Total Unusual Items Excluding Goodwill               -2061000000.0   -6173000000.0   12030000000.0        5973000000.0
Net Income From Continuing Operation Net Minori...   73795000000.0   59972000000.0   76033000000.0       40269000000.0
Reconciled Depreciation                              11946000000.0   13475000000.0   12441000000.0       13697000000.0
Reconciled Cost Of Revenue                          133332000000.0  126203000000.0  110939000000.0       84732000000.0
EBITDA                                               97971000000.0   85160000000.0  103521000000.0       61914000000.0
EBIT                                                 86025000000.0   71685000000.0   91080000000.0       48217000000.0
Net Interest Income                                   3557000000.0    1817000000.0    1153000000.0        1730000000.0
Interest Expense                                       308000000.0     357000000.0     346000000.0         135000000.0
Interest Income                                       3865000000.0    2174000000.0    1499000000.0        1865000000.0
Normalized Income                                    75569521000.0   65163493000.0   65951860000.0  35266572126.783409
Net Income From Continuing And Discontinued Ope...   73795000000.0   59972000000.0   76033000000.0       40269000000.0
Total Expenses                                      223101000000.0  207994000000.0  178923000000.0      141303000000.0
Total Operating Income As Reported                   84293000000.0   74842000000.0   78714000000.0       41224000000.0
Diluted Average Shares                               12722000000.0   13159000000.0   13553473900.0       13740553816.0
Basic Average Shares                                 12630000000.0   13063000000.0   13352993991.0       13616313872.0
Diluted EPS                                                    5.8            4.56        5.610003            2.930501
