,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
19,0000320193-24-000021,2024-02-05,2024-02-01,2024-02-05T18:36:34.000Z,,4,,,,7061,0,0,xslF345X05/wk-form4_1707176183.xml,FORM 4
20,0000320193-24-000020,2024-02-05,2024-02-01,2024-02-05T18:35:52.000Z,,4,,,,6935,0,0,xslF345X05/wk-form4_1707176141.xml,FORM 4
21,0000320193-24-000019,2024-02-05,2024-02-01,2024-02-05T18:34:56.000Z,,4,,,,7771,0,0,xslF345X05/wk-form4_1707176086.xml,FORM 4
22,0000320193-24-000018,2024-02-05,2024-02-01,2024-02-05T18:34:02.000Z,,4,,,,7048,0,0,xslF345X05/wk-form4_1707176011.xml,FORM 4
23,0000320193-24-000017,2024-02-05,2024-02-01,2024-02-05T18:32:54.000Z,,4,,,,7064,0,0,xslF345X05/wk-form4_1707175959.xml,FORM 4
24,0000320193-24-000016,2024-02-05,2024-02-01,2024-02-05T18:32:04.000Z,,4,,,,7057,0,0,xslF345X05/wk-form4_1707175909.xml,FORM 4
25,0000320193-24-000015,2024-02-05,2024-02-01,2024-02-05T18:31:06.000Z,,4,,,,7064,0,0,xslF345X05/wk-form4_1707175857.xml,FORM 4
26,0001096906-24-000156,2024-02-05,,2024-02-05T13:35:01.000Z,34,PX14A6G,001-36743,24595019,,13622,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
27,0001096906-24-000151,2024-02-02,,2024-02-02T12:47:49.000Z,34,PX14A6G,001-36743,24589773,,11763,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
28,0000320193-24-000006,2024-02-02,2023-12-30,2024-02-01T18:03:38.000Z,34,10-Q,001-36743,24588164,,4984121,1,1,aapl-20231230.htm,10-Q
29,0000320193-24-000005,2024-02-01,2024-02-01,2024-02-01T16:30:30.000Z,34,8-K,001-36743,24587382,"2.02,9.01",412459,1,1,aapl-20240201.htm,8-K
30,0001096906-24-000149,2024-02-01,,2024-02-01T15:34:58.000Z,34,PX14A6G,001-36743,24586630,,11485,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
31,0001096906-24-000148,2024-02-01,,2024-02-01T15:33:24.000Z,34,PX14A6G,001-36743,24586615,,9966,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
32,0001096906-24-000147,2024-02-01,,2024-02-01T15:29:01.000Z,34,PX14A6G,001-36743,24586584,,11409,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
33,0001096906-24-000145,2024-02-01,,2024-02-01T15:11:53.000Z,34,PX14A6G,001-36743,24586479,,13625,0,0,bowy_px14a6g.htm,BOWYER RESEARCH - PX14A6G
34,0001214659-24-001028,2024-01-22,,2024-01-19T18:12:51.000Z,34,PX14A6G,001-36743,24546646,,26639,0,0,j119245px14a6g.htm,
35,0001354457-24-000017,2024-01-17,,2024-01-17T16:23:49.000Z,34,25-NSE,000-10030,24538720,,3117,0,0,xslF25X02/primary_doc.xml,
36,0001308179-24-000011,2024-01-11,,2024-01-11T16:31:37.000Z,34,DEFA14A,001-36743,24529585,,1035201,0,0,laapl2024_defa14a.htm,APPLE INC. - DEFA14A
37,0001308179-24-000010,2024-01-11,2024-02-28,2024-01-11T16:30:29.000Z,34,DEF 14A,001-36743,24529569,,9051163,1,1,laapl2024_def14a.htm,APPLE INC. - DEF 14A
38,0000320193-23-000113,2023-12-01,2023-11-29,2023-12-01T18:32:18.000Z,,4,,,,4600,0,0,xslF345X05/wk-form4_1701473530.xml,FORM 4
39,0000320193-23-000111,2023-11-20,2023-11-16,2023-11-20T18:31:21.000Z,,4,,,,8165,0,0,xslF345X05/wk-form4_1700523067.xml,FORM 4
40,0000320193-23-000109,2023-11-14,2023-11-10,2023-11-14T18:31:09.000Z,,4,,,,5066,0,0,xslF345X05/wk-form4_1700004649.xml,FORM 4
41,0000320193-23-000106,2023-11-03,2023-09-30,2023-11-02T18:08:27.000Z,34,10-K,001-36743,231373899,,9569569,1,1,aapl-20230930.htm,10-K
42,0000320193-23-000104,2023-11-02,2023-11-02,2023-11-02T16:30:32.000Z,34,8-K,001-36743,231372885,"2.02,9.01",450675,1,1,aapl-20231102.htm,8-K
43,0000320193-23-000099,2023-10-17,2023-10-15,2023-10-17T18:30:48.000Z,,4,,,,16029,0,0,xslF345X05/wk-form4_1697581839.xml,FORM 4
44,0000320193-23-000097,2023-10-10,2023-10-06,2023-10-10T18:31:19.000Z,,4,,,,4875,0,0,xslF345X05/wk-form4_1696977071.xml,FORM 4
45,0000320193-23-000096,2023-10-10,2023-10-06,2023-10-10T18:30:21.000Z,,4,,,,8889,0,0,xslF345X05/wk-form4_1696977012.xml,FORM 4
46,0001958244-23-001819,2023-10-10,,2023-10-10T17:33:28.000Z,33,144,001-36743,231318902,,6090,0,0,xsl144X01/primary_doc.xml,
47,0001958244-23-001817,2023-10-06,,2023-10-06T17:13:45.000Z,33,144,001-36743,231314905,,5310,0,0,xsl144X01/primary_doc.xml,
48,0001973141-23-000238,2023-10-06,,2023-10-06T16:09:25.000Z,33,144,001-36743,231314309,,4338,0,0,xsl144X01/primary_doc.xml,
49,0000320193-23-000093,2023-10-03,2023-10-01,2023-10-03T21:09:17.000Z,,4,,,,15985,0,0,xslF345X05/wk-form4_1696381746.xml,FORM 4
50,0000320193-23-000092,2023-10-03,2023-10-01,2023-10-03T21:08:18.000Z,,4,,,,19514,0,0,xslF345X05/wk-form4_1696381688.xml,FORM 4
51,0000320193-23-000091,2023-10-03,2023-10-01,2023-10-03T21:06:55.000Z,,4,,,,15642,0,0,xslF345X05/wk-form4_1696381604.xml,FORM 4
52,0000320193-23-000090,2023-10-03,2023-10-01,2023-10-03T21:05:22.000Z,,4,,,,5624,0,0,xslF345X05/wk-form4_1696381514.xml,FORM 4
53,0000320193-23-000089,2023-10-03,2023-10-01,2023-10-03T21:04:27.000Z,,4,,,,22080,0,0,xslF345X05/wk-form4_1696381457.xml,FORM 4
54,0000320193-23-000088,2023-10-03,2023-10-01,2023-10-03T21:02:35.000Z,,4,,,,21404,0,0,xslF345X05/wk-form4_1696381345.xml,FORM 4
55,0001950047-23-004374,2023-10-03,,2023-10-03T16:03:08.000Z,33,144,001-36743,231303426,,4778,0,0,xsl144X01/primary_doc.xml,
56,0001973141-23-000233,2023-10-03,,2023-10-03T16:02:52.000Z,33,144,001-36743,231303418,,4919,0,0,xsl144X01/primary_doc.xml,
57,0001959173-23-004170,2023-10-03,,2023-10-03T11:53:25.000Z,33,144,001-36743,231302146,,4594,0,0,xsl144X01/primary_doc.xml,
58,0000320193-23-000081,2023-09-19,2023-08-08,2023-09-19T18:30:26.000Z,,4,,,,4890,0,0,xslF345X05/wk-form4_1695162617.xml,FORM 4
59,0000320193-23-000079,2023-08-08,2023-08-05,2023-08-08T18:30:28.000Z,,4,,,,10893,0,0,xslF345X05/wk-form4_1691533817.xml,FORM 4
60,0001973141-23-000171,2023-08-07,,2023-08-07T16:02:01.000Z,33,144,001-36743,231147491,,4367,0,0,xsl144X01/primary_doc.xml,
61,0000320193-23-000077,2023-08-04,2023-07-01,2023-08-03T18:04:43.000Z,34,10-Q,001-36743,231141522,,5939898,1,1,aapl-20230701.htm,10-Q
62,0000320193-23-000075,2023-08-03,2023-08-03,2023-08-03T16:30:21.000Z,34,8-K,001-36743,231140568,"2.02,9.01",452428,1,1,aapl-20230803.htm,8-K
63,0000320193-23-000070,2023-05-18,2023-05-16,2023-05-18T18:32:21.000Z,,4,,,,5705,0,0,xslF345X04/wf-form4_168444912415136.xml,FORM 4
64,0000320193-23-000068,2023-05-12,2023-05-10,2023-05-12T18:30:34.000Z,,4,,,,4583,0,0,xslF345X04/wf-form4_168393061463065.xml,FORM 4
65,0000320193-23-000066,2023-05-10,2023-05-08,2023-05-10T18:30:22.000Z,,4,,,,5105,0,0,xslF345X04/wf-form4_168375780902324.xml,FORM 4
66,0001140361-23-023909,2023-05-10,2023-05-08,2023-05-10T16:31:27.000Z,34,8-K,001-36743,23907040,"8.01,9.01",932286,1,1,ny20007635x4_8k.htm,8-K
67,0001140361-23-023700,2023-05-09,,2023-05-09T16:30:42.000Z,33,424B2,333-260578,23902601,,593076,0,0,ny20007635x3_424b2.htm,424B2
68,0001140361-23-023544,2023-05-09,,2023-05-08T18:15:52.000Z,34,FWP,333-260578,23899295,,77006,0,0,ny20007635x2_fwp.htm,FWP
69,0001140361-23-023333,2023-05-08,,2023-05-08T07:50:16.000Z,33,424B2,333-260578,23895889,,523855,0,0,ny20007635x1_424b2.htm,424B2
70,0000320193-23-000064,2023-05-05,2023-04-01,2023-05-04T18:03:52.000Z,34,10-Q,001-36743,23890444,,6314786,1,1,aapl-20230401.htm,10-Q
71,0000320193-23-000063,2023-05-04,2023-05-04,2023-05-04T16:30:43.000Z,34,8-K,001-36743,23889274,"2.02,9.01",493947,1,1,aapl-20230504.htm,8-K
72,0000320193-23-000057,2023-04-18,2023-04-15,2023-04-18T18:31:39.000Z,,4,,,,16150,0,0,xslF345X04/wf-form4_168185708431590.xml,FORM 4
73,0000320193-23-000055,2023-04-17,2023-04-13,2023-04-17T18:31:10.000Z,,4,,,,5207,0,0,xslF345X04/wf-form4_168177065948283.xml,FORM 4
74,0001958244-23-000454,2023-04-13,,2023-04-13T17:18:05.000Z,33,144,001-36743,23819153,,6072,0,0,xsl144X01/primary_doc.xml,
75,0000320193-23-000053,2023-04-10,2023-04-06,2023-04-10T18:30:24.000Z,,4,,,,4749,0,0,xslF345X04/wf-form4_168116581286812.xml,FORM 4
76,0001958244-23-000440,2023-04-06,,2023-04-06T17:48:09.000Z,33,144,001-36743,23807327,,5314,0,0,xsl144X01/primary_doc.xml,
77,0000320193-23-000051,2023-04-04,2023-04-01,2023-04-04T18:34:40.000Z,,4,,,,17464,0,0,xslF345X04/wf-form4_168064766485466.xml,FORM 4
78,0000320193-23-000050,2023-04-04,2023-04-01,2023-04-04T18:33:48.000Z,,4,,,,15301,0,0,xslF345X04/wf-form4_168064761527635.xml,FORM 4
79,0000320193-23-000049,2023-04-04,2023-04-01,2023-04-04T18:32:43.000Z,,4,,,,16593,0,0,xslF345X04/wf-form4_168064754806371.xml,FORM 4
80,0000320193-23-000048,2023-04-04,2023-04-01,2023-04-04T18:31:55.000Z,,4,,,,13367,0,0,xslF345X04/wf-form4_168064750462974.xml,FORM 4
81,0000320193-23-000047,2023-04-04,2023-04-01,2023-04-04T18:31:03.000Z,,4,,,,19021,0,0,xslF345X04/wf-form4_168064745080973.xml,FORM 4
82,0000320193-23-000040,2023-03-24,2023-03-22,2023-03-24T18:31:12.000Z,,4,,,,5597,0,0,xslF345X04/wf-form4_167969705479427.xml,FORM 4
83,0001140361-23-012065,2023-03-16,,2023-03-16T16:30:24.000Z,34,SD,001-36743,23739233,,456489,0,0,brhc10048434_sd.htm,SD
84,0000320193-23-000038,2023-03-14,2023-03-10,2023-03-14T18:35:39.000Z,,4,,,,5713,0,0,xslF345X03/wf-form4_167883332720098.xml,FORM 4
85,0000320193-23-000037,2023-03-14,2023-03-10,2023-03-14T18:35:04.000Z,,4,,,,5716,0,0,xslF345X03/wf-form4_167883328933055.xml,FORM 4
86,0000320193-23-000036,2023-03-14,2023-03-10,2023-03-14T18:34:23.000Z,,4,,,,5592,0,0,xslF345X03/wf-form4_167883325244111.xml,FORM 4
87,0000320193-23-000035,2023-03-14,2023-03-10,2023-03-14T18:33:41.000Z,,4,,,,5739,0,0,xslF345X03/wf-form4_167883321069337.xml,FORM 4
88,0000320193-23-000034,2023-03-14,2023-03-10,2023-03-14T18:33:01.000Z,,4,,,,5704,0,0,xslF345X03/wf-form4_167883316975236.xml,FORM 4
89,0000320193-23-000033,2023-03-14,2023-03-10,2023-03-14T18:31:58.000Z,,4,,,,5721,0,0,xslF345X03/wf-form4_167883310220723.xml,FORM 4
90,0000320193-23-000032,2023-03-14,2023-03-10,2023-03-14T18:31:21.000Z,,4,,,,5712,0,0,xslF345X03/wf-form4_167883306952487.xml,FORM 4
91,0000320193-23-000031,2023-03-14,2023-03-10,2023-03-14T18:30:52.000Z,,4,,,,5720,0,0,xslF345X03/wf-form4_167883304133328.xml,FORM 4
92,0001140361-23-011192,2023-03-10,2023-03-10,2023-03-10T16:30:52.000Z,34,8-K,001-36743,23724135,5.07,312760,1,1,brhc10049413_8k.htm,8-K
93,0001096906-23-000438,2023-02-22,,2023-02-22T13:11:53.000Z,34,PX14A6G,001-36743,23652101,,893236,0,0,nlpc_px14a6g.htm,NATIONAL LEGAL AND POLICY CENTER - PX14A6G
94,0001096906-23-000437,2023-02-22,,2023-02-22T13:10:34.000Z,34,PX14A6G,001-36743,23652096,,808459,0,0,nlpc_px14a6g.htm,NATIONAL LEGAL AND POLICY CENTER - PX14A6G
95,0001214659-23-002862,2023-02-22,,2023-02-22T10:02:15.000Z,34,PX14A6G,001-36743,23650931,,11648,0,0,f214237px14a6g.htm,
96,0001096906-23-000372,2023-02-14,,2023-02-14T15:00:19.000Z,34,PX14A6G,001-36743,23627630,,1125786,0,0,nlpc_px14a6g.htm,NATIONAL LEGAL AND POLICY CENTER - PX14A6G
97,0001193125-23-038262,2023-02-14,,2023-02-14T12:47:31.000Z,34,SC 13G/A,005-33632,23625867,,767531,0,0,d382361dsc13ga.htm,SC 13G/A
98,0001104659-23-015055,2023-02-09,,2023-02-09T10:54:46.000Z,34,SC 13G/A,005-33632,23602023,,13052,0,0,tv0017-appleinc.htm,SCHEDULE 13G/A
99,0001306550-23-008266,2023-02-07,,2023-02-07T14:10:46.000Z,34,SC 13G/A,005-33632,23594281,,13754,0,0,us0378331005_020723.txt,
100,0000320193-23-000022,2023-02-03,2023-02-01,2023-02-03T18:38:12.000Z,,4,,,,8423,0,0,xslF345X03/wf-form4_167546747536649.xml,FORM 4
101,0000320193-23-000021,2023-02-03,2023-02-01,2023-02-03T18:37:19.000Z,,4,,,,7034,0,0,xslF345X03/wf-form4_167546742335512.xml,FORM 4
102,0000320193-23-000020,2023-02-03,2023-02-01,2023-02-03T18:36:23.000Z,,4,,,,6908,0,0,xslF345X03/wf-form4_167546736542524.xml,FORM 4
103,0000320193-23-000019,2023-02-03,2023-02-01,2023-02-03T18:35:24.000Z,,4,,,,9211,0,0,xslF345X03/wf-form4_167546729886985.xml,FORM 4
104,0000320193-23-000018,2023-02-03,2023-02-01,2023-02-03T18:34:25.000Z,,4,,,,7870,0,0,xslF345X03/wf-form4_167546724839309.xml,FORM 4
105,0000320193-23-000017,2023-02-03,2023-02-01,2023-02-03T18:33:10.000Z,,4,,,,7037,0,0,xslF345X03/wf-form4_167546717269434.xml,FORM 4
106,0000320193-23-000016,2023-02-03,2023-02-01,2023-02-03T18:32:10.000Z,,4,,,,7030,0,0,xslF345X03/wf-form4_167546711444862.xml,FORM 4
107,0000320193-23-000015,2023-02-03,2023-02-01,2023-02-03T18:31:15.000Z,,4,,,,7037,0,0,xslF345X03/wf-form4_167546705890329.xml,FORM 4
108,0001140361-23-004439,2023-02-03,,2023-02-03T16:30:49.000Z,34,DEFA14A,001-36743,23586467,,15995,0,0,brhc10047294_defa14a.htm,DEFA 14A
109,0000320193-23-000006,2023-02-03,2022-12-31,2023-02-02T18:01:30.000Z,34,10-Q,001-36743,23582662,,5915088,1,1,aapl-20221231.htm,10-Q
110,0000320193-23-000005,2023-02-02,2023-02-02,2023-02-02T16:30:33.000Z,34,8-K,001-36743,23581333,"2.02,9.01",464814,1,1,aapl-20230202.htm,8-K
111,0001214659-23-001246,2023-01-30,,2023-01-30T12:09:02.000Z,34,PX14A6G,001-36743,23566245,,29085,0,0,d126231px14a6g.htm,
112,0001214659-23-000970,2023-01-23,,2023-01-20T18:30:10.000Z,34,PX14A6G,001-36743,23542217,,26144,0,0,f120232px14a6g.htm,
113,0001308179-23-000020,2023-01-12,,2023-01-12T16:32:30.000Z,34,DEFA14A,001-36743,23526234,,1121465,0,0,laap2023_def14a.htm,APPLE INC. - DEFA14A
114,0001308179-23-000019,2023-01-12,2023-03-10,2023-01-12T16:31:22.000Z,34,DEF 14A,001-36743,23526228,,4231531,0,0,laap2023_def14a.htm,APPLE INC. - DEF 14A
115,0000320193-22-000113,2022-11-23,2022-11-22,2022-11-23T18:30:27.000Z,,4,,,,5076,0,0,xslF345X03/wf-form4_166924620985339.xml,FORM 4
116,0001354457-22-000638,2022-11-09,,2022-11-09T17:15:03.000Z,34,25-NSE,000-10030,221373685,,3038,0,0,xslF25X02/primary_doc.xml,
117,0001193125-22-278435,2022-11-07,2022-11-06,2022-11-07T06:27:07.000Z,34,8-K,001-36743,221363624,"7.01,9.01",299395,1,1,d400465d8k.htm,8-K
118,0000320193-22-000111,2022-11-01,2022-10-28,2022-11-01T18:30:34.000Z,,4,,,,10792,0,0,xslF345X03/wf-form4_166734181374173.xml,FORM 4
119,0000320193-22-000108,2022-10-28,2022-09-24,2022-10-27T18:01:14.000Z,34,10-K,001-36743,221338448,,10332356,1,1,aapl-20220924.htm,10-K
120,0000320193-22-000107,2022-10-27,2022-10-27,2022-10-27T16:30:22.000Z,34,8-K,001-36743,221337696,"2.02,9.01",506714,1,1,aapl-20221027.htm,8-K
121,0000320193-22-000102,2022-10-18,2022-10-15,2022-10-18T18:33:15.000Z,,4,,,,10628,0,0,xslF345X03/wf-form4_166613234346671.xml,FORM 4
122,0000320193-22-000101,2022-10-18,2022-10-15,2022-10-18T18:31:41.000Z,,4,,,,16046,0,0,xslF345X03/wf-form4_166613226881196.xml,FORM 4
123,0000320193-22-000097,2022-10-04,2022-10-01,2022-10-04T22:05:07.000Z,,4,,,,16538,0,0,xslF345X03/wf-form4_166493494107053.xml,FORM 4
124,0000320193-22-000095,2022-10-04,2022-10-01,2022-10-04T22:02:25.000Z,,4,,,,22183,0,0,xslF345X03/wf-form4_166493432440801.xml,FORM 4
125,0000320193-22-000096,2022-10-04,2022-10-01,2022-10-04T21:57:57.000Z,,4,,,,10814,0,0,xslF345X03/wf-form4_166493485929155.xml,FORM 4
126,0000320193-22-000098,2022-10-04,2022-10-01,2022-10-04T21:57:10.000Z,,4,,,,10988,0,0,xslF345X03/wf-form4_166493500034922.xml,FORM 4
127,0000320193-22-000090,2022-09-27,2022-09-25,2022-09-27T21:51:33.000Z,,4,,,,7878,0,0,xslF345X03/wf-form4_166432987613616.xml,FORM 4
128,0000320193-22-000089,2022-09-27,2022-09-25,2022-09-27T21:50:27.000Z,,4,,,,7916,0,0,xslF345X03/wf-form4_166432981128707.xml,FORM 4
129,0000320193-22-000088,2022-09-27,2022-09-25,2022-09-27T21:49:11.000Z,,4,,,,7887,0,0,xslF345X03/wf-form4_166432973592639.xml,FORM 4
130,0000320193-22-000087,2022-09-27,2022-09-25,2022-09-27T21:48:06.000Z,,4,,,,7880,0,0,xslF345X03/wf-form4_166432966938808.xml,FORM 4
131,0000320193-22-000086,2022-09-27,2022-09-25,2022-09-27T21:46:50.000Z,,4,,,,5635,0,0,xslF345X03/wf-form4_166432958917508.xml,FORM 4
132,0000320193-22-000085,2022-09-27,2022-09-25,2022-09-27T21:45:49.000Z,,4,,,,7917,0,0,xslF345X03/wf-form4_166432952647630.xml,FORM 4
133,0000320193-22-000078,2022-08-22,2022-08-17,2022-08-22T18:43:18.000Z,,4/A,,,,7468,0,0,xslF345X03/wf-form4a_166120817922787.xml,FORM 4/A
134,0000320193-22-000076,2022-08-19,2022-08-17,2022-08-19T18:30:27.000Z,,4,,,,7070,0,0,xslF345X03/wf-form4_166094821148314.xml,FORM 4
135,0001193125-22-225365,2022-08-19,2022-08-17,2022-08-19T16:31:06.000Z,34,8-K,001-36743,221181249,"5.02,5.03,9.01",600283,1,1,d366128d8k.htm,8-K
136,0000320193-22-000074,2022-08-09,2022-08-05,2022-08-09T18:31:05.000Z,,4,,,,10700,0,0,xslF345X03/wf-form4_166008422355199.xml,FORM 4
137,0001193125-22-214914,2022-08-08,2022-08-01,2022-08-08T16:32:16.000Z,34,8-K,001-36743,221144879,"8.01,9.01",729124,1,1,d297151d8k.htm,8-K
138,0000320193-22-000072,2022-08-05,2022-08-03,2022-08-05T18:30:49.000Z,,4,,,,14533,0,0,xslF345X03/wf-form4_165973862846098.xml,FORM 4
139,0001193125-22-210056,2022-08-02,,2022-08-02T16:31:23.000Z,33,424B2,333-260578,221129176,,417545,0,0,d358144d424b2.htm,424B2
140,0001193125-22-209084,2022-08-02,,2022-08-01T19:15:33.000Z,34,FWP,333-260578,221126359,,47809,0,0,d297161dfwp.htm,FREE WRITING PROSPECTUS
141,0001193125-22-207773,2022-08-01,,2022-08-01T07:51:08.000Z,33,424B2,333-260578,221122780,,392517,0,0,d358144d424b2.htm,424B2
142,0000320193-22-000070,2022-07-29,2022-06-25,2022-07-28T18:06:56.000Z,34,10-Q,001-36743,221116600,,6109993,1,1,aapl-20220625.htm,10-Q
143,0000320193-22-000069,2022-07-28,2022-07-28,2022-07-28T16:31:44.000Z,34,8-K,001-36743,221115643,"2.02,9.01",506818,1,1,aapl-20220728.htm,8-K
144,0000320193-22-000063,2022-05-13,2022-05-06,2022-05-13T18:31:28.000Z,,4,,,,4636,0,0,xslF345X03/wf-form4_165248105838188.xml,FORM 4
145,0000320193-22-000061,2022-05-06,2022-05-04,2022-05-06T18:30:57.000Z,,4,,,,16362,0,0,xslF345X03/wf-form4_165187623819106.xml,FORM 4
146,0001193125-22-128368,2022-04-29,,2022-04-28T19:03:29.000Z,33,S-8,333-264555,22869039,,99455,0,0,d332661ds8.htm,S-8
147,0001193125-22-128361,2022-04-29,,2022-04-28T18:59:32.000Z,33,S-8 POS,333-165214,22869020,,121168,0,0,d279200ds8pos.htm,S-8 POS
148,0001193125-22-128354,2022-04-29,,2022-04-28T18:54:29.000Z,33,S-8 POS,333-195509,22869000,,121168,0,0,d279200ds8pos.htm,S-8 POS
149,0000320193-22-000059,2022-04-29,2022-03-26,2022-04-28T18:03:58.000Z,34,10-Q,001-36743,22868650,,6140838,1,1,aapl-20220326.htm,10-Q
150,0000320193-22-000058,2022-04-28,2022-04-28,2022-04-28T16:32:12.000Z,34,8-K,001-36743,22867217,"2.02,9.01",512525,1,1,aapl-20220428.htm,8-K
151,0000320193-22-000053,2022-04-19,2022-04-15,2022-04-19T18:31:54.000Z,,4,,,,12553,0,0,xslF345X03/wf-form4_165040749395911.xml,FORM 4
152,0000320193-22-000052,2022-04-19,2022-04-15,2022-04-19T18:30:44.000Z,,4,,,,16128,0,0,xslF345X03/wf-form4_165040742689204.xml,FORM 4
153,0000320193-22-000049,2022-04-05,2022-04-01,2022-04-05T18:33:35.000Z,,4,,,,17711,0,0,xslF345X03/wf-form4_164919799612317.xml,FORM 4
154,0000320193-22-000048,2022-04-05,2022-04-01,2022-04-05T18:32:41.000Z,,4,,,,12916,0,0,xslF345X03/wf-form4_164919793500496.xml,FORM 4
155,0000320193-22-000047,2022-04-05,2022-04-01,2022-04-05T18:31:42.000Z,,4,,,,13594,0,0,xslF345X03/wf-form4_164919788707106.xml,FORM 4
156,0000320193-22-000046,2022-04-05,2022-04-01,2022-04-05T18:30:46.000Z,,4,,,,11071,0,0,xslF345X03/wf-form4_164919783103450.xml,FORM 4
157,0000320193-22-000041,2022-03-08,2022-03-04,2022-03-08T18:37:38.000Z,,4,,,,5713,0,0,xslF345X03/wf-form4_164678264350913.xml,FORM 4
158,0000320193-22-000040,2022-03-08,2022-03-04,2022-03-08T18:36:47.000Z,,4,,,,5716,0,0,xslF345X03/wf-form4_164678259356672.xml,FORM 4
159,0000320193-22-000039,2022-03-08,2022-03-04,2022-03-08T18:35:52.000Z,,4,,,,5592,0,0,xslF345X03/wf-form4_164678253465583.xml,FORM 4
160,0000320193-22-000038,2022-03-08,2022-03-04,2022-03-08T18:35:01.000Z,,4,,,,5739,0,0,xslF345X03/wf-form4_164678248157775.xml,FORM 4
161,0000320193-22-000037,2022-03-08,2022-03-04,2022-03-08T18:34:04.000Z,,4,,,,5704,0,0,xslF345X03/wf-form4_164678242279764.xml,FORM 4
162,0000320193-22-000036,2022-03-08,2022-03-04,2022-03-08T18:33:09.000Z,,4,,,,5721,0,0,xslF345X03/wf-form4_164678236531567.xml,FORM 4
163,0000320193-22-000035,2022-03-08,2022-03-04,2022-03-08T18:32:05.000Z,,4,,,,5712,0,0,xslF345X03/wf-form4_164678229722183.xml,FORM 4
