Ticker,Name,Market Cap,Sector,Business Summary,Industry,Shares Outstanding,Institution Ownership,Current Price,52-Week High,52-Week Low,Enterprise Value,Beta,Weekly Price Change %,Monthly Price Change %,Quarterly Price Change %,Half-Yearly Price Change %,Yearly Price Change %,YTD Price Change %,2019 Revenues,2020 Revenues,2021 Revenues,2022 Revenues,2023 Revenues,2024 Revenues,2025 Revenues,2019 Net Income,2020 Net Income,2021 Net Income,2022 Net Income,2023 Net Income,2024 Net Income,2025 Net Income,2019 EBITDA,2020 EBITDA,2021 EBITDA,2022 EBITDA,2023 EBITDA,2024 EBITDA,2025 EBITDA,2019 EBIT,2020 EBIT,2021 EBIT,2022 EBIT,2023 EBIT,2024 EBIT,2025 EBIT,Currency,Unit
WHFCL,"WhiteHorse Finance, Inc. 7.875% Notes due 2028",0.0,0,0,0,0.0,0.0,0.0,27.41,24.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.07,61.7,72.14,87.53,103.3,98.72,94.16,30.84,31.68,30.09,15.68,20.41,41.28,38.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD,Million
UHG,"United Homes Group, Inc.",307158816.0,Consumer Cyclical,"UHG is a publicly traded residential builder headquartered in Columbia, SC. The company focuses on southeastern markets with 63 current active communities in South Carolina, North Carolina and Georgia. UHG employs a land-light operating strategy with a focus on the design, construction and sale of entry-level, first move up and second move up single-family houses. UHG currently designs, builds and sells detached single-family homes, and, to a lesser extent, attached single-family homes, including duplex homes and town homes in three major market regions in South Carolina: Midlands, Upstate, and Coastal, and also has a presence in Georgia and North Carolina. UHG seeks to operate its homebuilding business in high-growth markets, with substantial in-migrations and employment growth. Under its land-light lot operating strategy, UHG controls its supply of finished building lots through lot purchase agreements with third parties including its Land Development Affiliates, which provide UHG with the right to purchase finished lots after they have been developed by the applicable third party. This land-light operating strategy provides UHG with the ability to amass a pipeline of lots without the same risks associated with acquiring and developing raw land. As UHG reviews potential geographic markets into which it could expand its homebuilding business, either organically or through strategic acquisitions, it intends to focus on selecting markets with positive population and employment growth trends, favorable migration patterns, attractive housing affordability, low state and local income taxes, and desirable lifestyle and weather characteristics.",Residential Construction,11397600.0,0.39747003,6.33,18.7,4.79,403572512.0,0.656,-0.94,-4.67,-22.04,-4.38,-49.36,-24.91,19796.0,20841.0,21111.0,20688.0,20502.0,20546.0,20720.0,-1293.0,4467.0,2475.0,5764.0,8130.0,8748.0,8924.0,10960.0,12412.0,12044.0,12237.0,12602.0,12505.0,12744.0,10734.0,12155.0,11800.0,12011.0,12330.0,12122.0,12319.0,USD,Million
REGCP,Regency Centers Corporation,0.0,Real Estate,"Regency Centers is a preeminent national owner, operator, and developer of shopping centers located in suburban trade areas with compelling demographics. Our portfolio includes thriving properties merchandised with highly productive grocers, restaurants, service providers, and best-in-class retailers that connect to their neighborhoods, communities, and customers. Operating as a fully integrated real estate company, Regency Centers is a qualified real estate investment trust (REIT) that is self-administered, self-managed, and an S&P 500 Index member.",REIT - Retail,0.0,0.38474,23.04,25.25,22.38,8940318720.0,1.179,0.0,0.0,0.0,0.0,0.0,0.0,10918.0,16675.0,26914.0,26974.0,60922.0,111777.0,0.0,2796.0,4332.0,9752.0,4368.0,29760.0,57275.0,0.0,3227.0,5630.0,11215.0,5768.0,34480.0,71301.0,0.0,3735.0,6803.0,12690.0,9040.0,37134.0,72799.0,0.0,USD,Million
XNCR,"Xencor, Inc.",1162508160.0,Healthcare,"Xencor, Inc., a clinical stage biopharmaceutical company, focuses on the discovery and development of engineered monoclonal antibody and cytokine therapeutics to treat patients with cancer and autoimmune diseases. The company provides Sotrovimab that targets the SARS-CoV-2 virus; Ultomiris for the treatment of patients with paroxysmal nocturnal hemoglobinuria and atypical hemolytic uremic syndrome; and Monjuvi for the treatment of patients with relapsed or refractory diffuse large B-cell lymphoma. It develops Plamotamab, a bispecific antibody, which is in Phase I clinical trial to treat non-Hodgkin lymphoma; Vudalimab, a bispecific antibody, which is in Phase II clinical trial to treat metastatic castration-resistant prostate cancer and other solid tumor types. The company is also developing XmAb306, which is in Phase I clinical trial to treat solid tumors; XmAb104, which is in Phase II clinical trial to treat patients with selected solid tumors; XmAb564 that is in Phase Ia clinical trial to treat autoimmune diseases; AMG 509, which is in Phase I clinical trial to treat prostate cancer; XmAb819 for patients with renal cell carcinoma; XmAb541 for the treatment of ovarian cancer; and XmAb662 which is in Phase I clinical trial to treat patients with solid tumors. In addition, the company develops VIR-3434, which is in Phase II clinical trial for patients with hepatitis B virus infection; and VIR-2482 that is in Phase 2 clinical trial to trat hepatitis B virus. The company develops AIMab7195 to reduce blood serum levels of IgE that mediates allergic responses and allergic disease; Obexelimab to treat autoimmune disease; and Xpro1595 to treat patients with Alzheimer's disease, and depression. It has a license agreement with Caris Life Sciences. Xencor, Inc. was incorporated in 1997 and is headquartered in Pasadena, California.",Biotechnology,61120300.0,1.05705,19.02,28.96,16.49,652553600.0,0.764,0.0,0.0,0.0,0.0,0.0,0.0,156.7,122.7,275.1,164.6,168.3,93.25,155.9,26.88,-69.33,82.63,-55.18,-126.1,-203.9,-171.5,18.12,-71.0,51.26,-73.67,-127.1,-180.5,-157.1,13.82,-76.8,43.77,-82.47,-138.6,-214.6,-188.0,USD,Million
FMNB,Farmers National Banc Corp.,473453312.0,Financial Services,"Farmers National Banc Corp. operates as a bank holding company for The Farmers National Bank of Canfield engages in the banking, trust, retirement consulting, insurance, and financial management businesses. It offers commercial and retail banking services, including checking, savings, and time deposit accounts; commercial, mortgage and installment, and home equity loans; home equity lines of credit, night depository, safe deposit box, money order, bank check, automated teller machine, Internet banking, travel card, E bond transaction, brokerage, and other services. The company also provides personal and corporate trust services in the areas of estate settlement, trust administration, employee benefit plans, and retirement services; property and casualty insurance products and services; and various insurance products through licensed representatives, as well as invests in municipal securities. The company was founded in 1887 and is headquartered in Canfield, Ohio.",Banks - Regional,37545900.0,0.39445,12.38,14.75,10.38,823178240.0,0.85,4.3,-3.05,-13.61,14.74,8.88,-14.33,14933.0,14540.0,14779.0,18449.0,21659.0,21542.0,21194.0,1511.0,1264.0,1640.0,2353.0,7797.0,2668.0,2843.0,5030.0,4947.0,4598.0,5643.0,6278.0,6950.0,7422.0,3442.0,3307.0,2926.0,3813.0,4294.0,4781.0,5113.0,GBP,Million
CHI,Calamos Convertible Opportunities and Income Fund,830481792.0,Financial Services,"Calamos Convertible Opportunities and Income Fund is a closed ended fixed income mutual fund launched by Calamos Investments LLC. It is managed by Calamos Advisors LLC. The fund invests in the fixed income markets of the United States. It primarily invests in a diversified portfolio of convertible securities and high yield corporate bonds rated Ba or lower by Moody's or BB or lower by Standard & Poor's. The fund employs both fundamental and quantitative analysis with a focus on such factors as financial soundness, ability to make interest and dividend payments, earnings and cash-flow forecast, and quality of management to create its portfolio. Calamos Convertible Opportunities and Income Fund was formed on April 17, 2002 and is domiciled in the United States.",Asset Management,74818200.0,0.55433,11.03,11.61,9.7,0.0,1.155,3.67,-4.17,4.45,6.67,6.04,6.47,22320.0,24540.0,28318.0,28541.0,34124.0,41361.0,51289.0,8318.0,6194.0,5582.0,6245.0,5240.0,10884.0,15788.0,7551.0,8589.0,10005.0,9472.0,8584.0,14921.0,20892.0,6079.0,7265.0,8457.0,7950.0,7057.0,13438.0,19246.0,USD,Million
ADXN,Addex Therapeutics Ltd,19052326.0,Healthcare,"Addex Therapeutics Ltd, a development-stage biopharmaceutical company, discovers, develops, and commercializes small-molecule pharmaceutical products for central nervous system (CNS) disorders in Switzerland. The company focuses on the discovery of G-protein coupled receptors. Its lead programs include Dipraglurant for the treatment of Parkinson's disease levodopa-induced dyskinesia, and dystonia; ADX71149 for epilepsy and undisclosed CNS disorders; and GABAB PAM for pain, anxiety, and addiction. It has license and collaboration agreement with Janssen Pharmaceuticals Inc.; Indivior PLC; and The CharcotMarieTooth Association. The company was formerly known as Addex Pharmaceuticals Ltd. Addex Therapeutics Ltd was founded in 2002 and is headquartered in Geneva, Switzerland.",Biotechnology,1068810.0,0.18326001,15.55,27.9,5.0,1990876160.0,1.759,-29.32,31.84,119.94,89.63,12.68,157.02,9480619.0,8767263.0,8729196.0,10264602.0,10881150.0,9449918.0,9059800.0,222546.0,87596.0,501613.0,583470.0,649124.0,569208.0,598215.0,1123020.0,1095041.0,986843.0,1278488.0,1274454.0,1222957.0,1303496.0,754976.0,661883.0,495180.0,738236.0,748144.0,753373.0,834056.0,JPY,Million
RGTIW,"Rigetti Computing, Inc.",0.0,Technology,"Rigetti Computing, Inc., through its subsidiaries, builds quantum computers and the superconducting quantum processors. The company offers cloud in a form of quantum processing unit, such as 9-qubit chip and Ankaa-2 system under the Novera brand name; and sells access to its quantum computers through quantum computing as a service. It also provides quantum cloud services that provides various range of support in programming, public or private clouds integration, and connectivity, as well as quantum operating system software that supports both public and private cloud architectures. In addition, the company offers professional services, such as algorithm development, benchmarking, quantum application programming, and software development. The company serves commercial enterprises, government organizations, and international government entities. It has operations in the United States and the United Kingdom. Rigetti Computing, Inc. was founded in 2013 and is headquartered in Berkeley, California.",Computer Hardware,0.0,0.0,0.2,0.2,0.1991,0.0,2.435,0.0,0.0,0.0,0.0,0.0,0.0,8.196,13.1,12.01,16.1,30.87,0.0,0.0,0.0,-71.52,-75.11,-68.51,-66.13,0.0,0.0,-29.48,-51.87,-51.47,-49.52,-47.08,0.0,0.0,-34.13,-58.89,-58.9,-51.0,-41.6,0.0,0.0,USD,Million
SPNS,Sapiens International Corporation N.V.,1734417280.0,Technology,"Sapiens International Corporation N.V. provides software solutions for the insurance industry in North America, the United Kingdom, Europe, the Middle East, Africa, the Asia Pacific, and internationally. The company provides various solutions for property and casualty commercial and personal lines, life and pensions, and reinsurance fields. It offers IDITSuite, an AI powered, end-to-end insurance software; DigitalSuite, a cloud-native, future-proof digital engagement platform; IDITGo, a pre-configured, data-enriched insurance launch and accelerator platform solutions; consultancy services for property and casualty commercial lines; and Tia Enterprise solution for customer engagement. The company also provides CoreSuite, an end-to-end cloud and digital PAS for individual and group products across life, health, wealth, and pensions; CustomerConnect, a dynamic self-service and persona-based portal to engage with insureds; AgentConnect, a portal for agents and brokers to focus on sales enablement, customer retention, and increasing customer value; and ReinsuranceMaster, a reinsurance automation software that provides insurers full financial control and flexibility over their entire reinsurance process. The company was founded in 1982 and is headquartered in Holon, Israel.",Software - Application,55733200.0,0.3151,31.12,35.33,19.91,1622336384.0,1.171,2.88,-1.46,11.14,23.98,51.07,7.53,77147.0,73620.0,57350.0,60530.0,61860.0,63594.0,66509.0,9431.0,5590.0,5743.0,1639.0,7502.0,8041.0,8643.0,18246.0,15379.0,0.0,14739.0,15447.0,15866.0,16690.0,12187.0,8684.0,0.0,9937.0,11052.0,11623.0,12625.0,USD,Million
NTNX,"Nutanix, Inc.",14921155584.0,Technology,"Nutanix, Inc. provides an enterprise cloud platform in North America, Europe, the Asia Pacific, the Middle East, Latin America, and Africa. The company offers hyperconverged infrastructure software stack that converges virtualization, storage, and networking services into a turnkey solution; Acropolis Hypervisor, an enterprise-grade virtualization solution; flow virtual networking and flow network security, which offers services to visualize the network, automate common network operations, and build virtual private networks; Nutanix Kubernetes Engine for automated deployment and management of Kubernetes clusters to simplify the provisioning, operations, and lifecycle management of cloud-native environments, applications, and microservices; and Nutanix Cloud Clusters. It also provides Nutanix Cloud Management that provides management, capacity planning, operational analytics, automated remediation, self-service, and one-click administration; cloud governance; and automation services that streamline application lifecycle management, provide self-service for infrastructure and applications, and deliver multicloud orchestration. In addition, the company offers Nutanix Files, an enterprise-grade network file system and server message block files services; Nutanix Objects, a S3-compatible object services; Nutanix Data Lens, a data security governance solution; and Nutanix database service that provides automated database management to simplify database administration and to manage database copies. Further, it provides product support, and consulting and implementation services. The company serves customers in a range of industries, including automotive, consumer goods, education, energy, financial services, healthcare, manufacturing, media, public sector, retail, technology, and telecommunications, as well as service providers. Nutanix, Inc. was incorporated in 2009 and is headquartered in San Jose, California.",Software - Infrastructure,244328992.0,0.83769,60.89,66.99,23.345,14598715392.0,1.277,0.3,-4.29,7.6,70.27,152.76,27.68,1236.0,1308.0,1394.0,1581.0,1863.0,2140.0,2493.0,-621.2,-872.9,-1034.0,-797.5,-254.6,-65.9,40.3,-196.7,-361.3,-186.7,2.141,237.4,358.8,447.8,-274.3,-455.0,-281.0,-85.81,161.0,284.5,377.4,USD,Million
PROV,"Provident Financial Holdings, Inc.",90047104.0,Financial Services,"Provident Financial Holdings, Inc. operates as the holding company for Provident Savings Bank, F.S.B. that provides community banking services to consumers and small to mid-sized businesses in the Inland Empire region of Southern California. The company's deposit products include checking, savings, and money market accounts, as well as time deposits; and loan portfolio consists of single-family, multi-family, commercial real estate, construction, mortgage, commercial business, and consumer loans. It also offers investment services comprising the sale of investment products, such as annuities and mutual funds; and trustee services for real estate transactions. The company operates through full-service banking offices in Riverside County and San Bernardino County. Provident Financial Holdings, Inc. was founded in 1956 and is headquartered in Riverside, California.",Banks - Regional,6926700.0,0.52535,13.0,15.4,10.16,287447040.0,0.393,-2.69,-4.9,-6.27,5.69,-4.2,3.09,481.4,874.4,1452.0,2241.0,3056.0,3974.0,0.0,-141.8,-92.63,-234.8,-183.2,89.33,219.3,0.0,-42.61,101.0,239.2,432.9,768.7,1025.0,0.0,-65.64,62.35,196.2,355.6,660.3,896.1,0.0,USD,Million
ELTX,"Elicio Therapeutics, Inc.",94544248.0,Healthcare,"Elicio Therapeutics, Inc., a clinical-stage biotechnology company, develops a pipeline of novel immunotherapies for the treatment of cancer, infectious, and other diseases. The company's lead product candidate is ELI-002, an AMP therapeutic vaccine for the treatment of KRAS-driven cancers that is in Phase II clinical trial. It is also developing ELI-004, an AMP-modified CpG adjuvant and a component of ELI-002; ELI-007, a lymph node targeted AMP-peptide vaccine for mutant BRAF-driven cancers; and ELI-008, a multivalent lymph node targeted AMP-peptide vaccine for mutant TP53-expressing cancers. The company is headquartered in Boston, Massachusetts.",Biotechnology,10221000.0,0.05308,9.25,24.39,2.96,88567376.0,0.0,-0.54,34.06,180.3,52.39,20.84,10.91,380.8,540.1,701.9,933.0,1243.0,1852.0,2898.0,-715.1,-554.1,-418.8,-703.5,-536.0,213.6,1004.0,-681.1,-537.3,-421.7,-494.3,-223.4,159.0,1034.0,-705.6,-564.2,-459.7,-536.2,-267.8,154.7,929.7,USD,Million
